Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1966","1966","1000 persons","140495.407","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","780172.786","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1967","1967","1000 persons","400873.933","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1967","1967","1000 persons","379298.847","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1967","1967","1000 persons","634734.521","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1967","1967","1000 persons","143400.494","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","802167.626","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1968","1968","1000 persons","412023.695","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1968","1968","1000 persons","390143.952","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1968","1968","1000 persons","653407.307","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1968","1968","1000 persons","146474.476","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","824557.722","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1969","1969","1000 persons","423392.306","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1969","1969","1000 persons","401165.409","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1969","1969","1000 persons","672382.464","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1969","1969","1000 persons","149554.409","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","846620.967","A","Aggregate, may include official, semi-official, estimated or calculated data",""
